Refining reads of /home/patienza/oscars/erga/data/Canis_aureus/m64358e_220706_164001.reads.bam
Done IsoSeq refine.
Clustering
| 20260212 15:26:02.569 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260212 15:30:07.574 | INFO | Snapshot : 2372.8% / 165T / 0.8G
| 20260212 15:30:12.576 | INFO | Snapshot : 2351.1% / 165T / 0.8G
| 20260212 15:30:17.572 | INFO | Snapshot : 2319.8% / 165T / 0.8G
| 20260212 15:30:22.569 | INFO | Snapshot : 2384.4% / 165T / 0.8G
| 20260212 15:30:27.569 | INFO | Snapshot : 2364.5% / 165T / 0.8G
| 20260212 15:30:32.570 | INFO | Snapshot : 2374.9% / 165T / 0.8G
| 20260212 15:30:37.574 | INFO | Snapshot : 2378.4% / 165T / 0.8G
| 20260212 15:30:42.569 | INFO | Snapshot : 2382.9% / 165T / 0.8G
| 20260212 15:30:47.577 | INFO | Snapshot : 2377.5% / 165T / 0.8G
| 20260212 15:30:52.002 | INFO | Write sorted          : 4m 9s 
| 20260212 15:30:52.569 | INFO | Snapshot : 2108.9% / 84T / 0.8G
| 20260212 15:30:52.888 | INFO | Dedup
| 20260212 15:30:57.572 | INFO | Snapshot : 2131.6% / 164T / 0.9G
| 20260212 15:31:02.570 | INFO | Snapshot : 2274.6% / 164T / 1.0G
| 20260212 15:31:07.569 | INFO | Snapshot : 2346.8% / 164T / 1.1G
| 20260212 15:31:12.569 | INFO | Snapshot : 2260.1% / 164T / 1.1G
| 20260212 15:31:16.753 | INFO | Dedup                 : 23s 865ms 
| 20260212 15:31:16.817 | INFO | Clustering
| 20260212 15:31:17.569 | INFO | Snapshot : 1663.1% / 164T / 1.1G
| 20260212 15:31:22.570 | INFO | Snapshot : 1157.2% / 164T / 1.3G
| 20260212 15:31:27.570 | INFO | Snapshot : 1793.8% / 164T / 1.3G
| 20260212 15:31:32.569 | INFO | Snapshot : 1862.9% / 164T / 1.3G
| 20260212 15:31:37.570 | INFO | Snapshot : 1799.5% / 164T / 1.3G
| 20260212 15:31:42.569 | INFO | Snapshot : 1772.7% / 164T / 1.3G
| 20260212 15:31:47.569 | INFO | Snapshot : 1838.7% / 164T / 1.3G
| 20260212 15:31:52.569 | INFO | Snapshot : 1773.3% / 164T / 1.4G
| 20260212 15:31:57.569 | INFO | Snapshot : 1842.1% / 164T / 1.5G
| 20260212 15:32:02.579 | INFO | Snapshot : 1760.6% / 164T / 1.5G
| 20260212 15:32:07.569 | INFO | Snapshot : 1786.5% / 164T / 1.5G
| 20260212 15:32:12.569 | INFO | Snapshot : 1695.3% / 164T / 1.5G
| 20260212 15:32:17.569 | INFO | Snapshot : 1766.9% / 164T / 1.5G
| 20260212 15:32:22.570 | INFO | Snapshot : 1657.7% / 164T / 1.5G
| 20260212 15:32:27.569 | INFO | Snapshot : 1596.1% / 164T / 1.5G
| 20260212 15:32:30.839 | INFO | Clustering            : 1m 14s 
| 20260212 15:32:32.532 | INFO | Merge clusters
| 20260212 15:32:32.569 | INFO | Snapshot : 300.0% / 3T / 1.5G
| 20260212 15:32:37.218 | INFO | Clustering            : 4s 685ms 
| 20260212 15:32:37.219 | INFO | Break coarse clusters
| 20260212 15:32:37.569 | INFO | Snapshot : 136.0% / 164T / 1.8G
| 20260212 15:32:42.570 | INFO | Snapshot : 2438.1% / 164T / 2.0G
| 20260212 15:32:47.570 | INFO | Snapshot : 2512.1% / 164T / 2.0G
| 20260212 15:32:52.570 | INFO | Snapshot : 2532.6% / 164T / 2.1G
| 20260212 15:32:57.570 | INFO | Snapshot : 2527.8% / 164T / 2.1G
| 20260212 15:33:02.570 | INFO | Snapshot : 2522.0% / 164T / 2.1G
| 20260212 15:33:07.570 | INFO | Snapshot : 2298.1% / 164T / 2.3G
| 20260212 15:33:12.569 | INFO | Snapshot : 2504.7% / 164T / 2.4G
| 20260212 15:33:17.577 | INFO | Snapshot : 2542.6% / 164T / 2.4G
| 20260212 15:33:22.570 | INFO | Snapshot : 2538.0% / 164T / 2.4G
| 20260212 15:33:27.570 | INFO | Snapshot : 2523.9% / 164T / 2.4G
| 20260212 15:33:32.569 | INFO | Snapshot : 2526.2% / 164T / 2.4G
| 20260212 15:33:37.570 | INFO | Snapshot : 2492.9% / 164T / 2.4G
| 20260212 15:33:42.570 | INFO | Snapshot : 2529.3% / 164T / 2.4G
| 20260212 15:33:47.570 | INFO | Snapshot : 2495.6% / 164T / 2.4G
| 20260212 15:33:52.574 | INFO | Snapshot : 2495.2% / 164T / 2.4G
| 20260212 15:33:57.570 | INFO | Snapshot : 2457.8% / 164T / 2.4G
| 20260212 15:34:02.569 | INFO | Snapshot : 2485.6% / 164T / 2.4G
| 20260212 15:34:07.570 | INFO | Snapshot : 2502.4% / 164T / 2.4G
| 20260212 15:34:12.569 | INFO | Snapshot : 2470.2% / 164T / 2.4G
| 20260212 15:34:17.570 | INFO | Snapshot : 2438.7% / 164T / 2.4G
| 20260212 15:34:22.569 | INFO | Snapshot : 2456.2% / 164T / 2.4G
| 20260212 15:34:27.569 | INFO | Snapshot : 2441.3% / 164T / 2.4G
| 20260212 15:34:32.570 | INFO | Snapshot : 2425.7% / 164T / 2.4G
| 20260212 15:34:37.569 | INFO | Snapshot : 2444.3% / 164T / 2.4G
| 20260212 15:34:42.576 | INFO | Snapshot : 2444.3% / 164T / 2.4G
| 20260212 15:34:47.571 | INFO | Snapshot : 2400.8% / 164T / 2.5G
| 20260212 15:34:52.569 | INFO | Snapshot : 1969.5% / 164T / 2.5G
| 20260212 15:34:57.570 | INFO | Snapshot : 2309.9% / 164T / 2.6G
| 20260212 15:35:02.573 | INFO | Snapshot : 2242.4% / 164T / 2.7G
| 20260212 15:35:07.570 | INFO | Snapshot : 2304.7% / 164T / 2.7G
| 20260212 15:35:12.569 | INFO | Snapshot : 1828.5% / 85T / 2.9G
| 20260212 15:35:17.569 | INFO | Snapshot : 99.0% / 85T / 2.9G
| 20260212 15:35:22.569 | INFO | Snapshot : 99.4% / 85T / 2.9G
| 20260212 15:35:27.569 | INFO | Snapshot : 99.4% / 85T / 2.9G
| 20260212 15:35:32.570 | INFO | Snapshot : 99.2% / 85T / 2.9G
| 20260212 15:35:37.569 | INFO | Snapshot : 99.4% / 85T / 2.9G
| 20260212 15:35:42.569 | INFO | Snapshot : 99.0% / 85T / 2.9G
| 20260212 15:35:47.569 | INFO | Snapshot : 99.2% / 85T / 2.9G
| 20260212 15:35:50.580 | INFO | Break coarse clusters : 3m 13s 
| 20260212 15:35:51.617 | INFO | Break again
| 20260212 15:35:52.570 | INFO | Snapshot : 400.0% / 164T / 2.8G
| 20260212 15:35:57.570 | INFO | Snapshot : 2369.4% / 164T / 2.8G
| 20260212 15:36:02.569 | INFO | Snapshot : 2389.6% / 164T / 2.8G
| 20260212 15:36:07.570 | INFO | Snapshot : 2162.5% / 164T / 2.9G
| 20260212 15:36:12.570 | INFO | Snapshot : 2477.0% / 164T / 2.9G
| 20260212 15:36:17.570 | INFO | Snapshot : 2459.0% / 164T / 2.9G
| 20260212 15:36:22.570 | INFO | Snapshot : 2442.2% / 164T / 2.9G
| 20260212 15:36:27.575 | INFO | Snapshot : 2392.0% / 164T / 2.9G
| 20260212 15:36:32.573 | INFO | Snapshot : 2431.8% / 164T / 2.9G
| 20260212 15:36:37.570 | INFO | Snapshot : 2306.8% / 164T / 2.9G
| 20260212 15:36:42.579 | INFO | Snapshot : 2403.9% / 164T / 2.9G
| 20260212 15:36:47.569 | INFO | Snapshot : 2457.4% / 164T / 2.9G
| 20260212 15:36:52.570 | INFO | Snapshot : 2439.2% / 164T / 2.9G
| 20260212 15:36:57.573 | INFO | Snapshot : 2358.0% / 164T / 2.9G
| 20260212 15:37:02.569 | INFO | Snapshot : 2413.4% / 164T / 2.9G
| 20260212 15:37:07.580 | INFO | Snapshot : 2415.8% / 164T / 2.9G
| 20260212 15:37:12.585 | INFO | Snapshot : 2426.0% / 164T / 2.9G
| 20260212 15:37:17.570 | INFO | Snapshot : 2418.9% / 164T / 2.9G
| 20260212 15:37:22.587 | INFO | Snapshot : 2454.1% / 164T / 2.9G
| 20260212 15:37:27.570 | INFO | Snapshot : 2429.3% / 164T / 2.9G
| 20260212 15:37:32.576 | INFO | Snapshot : 2427.9% / 164T / 2.9G
| 20260212 15:37:37.569 | INFO | Snapshot : 2426.1% / 164T / 2.9G
| 20260212 15:37:42.569 | INFO | Snapshot : 2433.1% / 164T / 2.9G
| 20260212 15:37:47.569 | INFO | Snapshot : 2420.0% / 164T / 2.9G
| 20260212 15:37:52.572 | INFO | Snapshot : 2411.3% / 164T / 2.9G
| 20260212 15:37:57.569 | INFO | Snapshot : 1333.8% / 85T / 2.9G
| 20260212 15:38:02.569 | INFO | Snapshot : 99.4% / 85T / 2.9G
| 20260212 15:38:04.152 | INFO | Break again           : 2m 12s 
| 20260212 15:38:05.164 | INFO | Consensus
| 20260212 15:38:07.570 | INFO | Snapshot : 814.4% / 164T / 2.9G
| 20260212 15:38:12.569 | INFO | Snapshot : 1598.5% / 164T / 4.0G
| 20260212 15:38:17.569 | INFO | Snapshot : 1728.3% / 164T / 4.8G
| 20260212 15:38:22.577 | INFO | Snapshot : 1717.8% / 164T / 5.6G
| 20260212 15:38:27.569 | INFO | Snapshot : 1688.2% / 164T / 6.4G
| 20260212 15:38:32.570 | INFO | Snapshot : 1611.7% / 164T / 7.2G
| 20260212 15:38:37.569 | INFO | Snapshot : 1604.9% / 164T / 7.9G
| 20260212 15:38:42.569 | INFO | Snapshot : 1608.3% / 164T / 8.4G
| 20260212 15:38:47.569 | INFO | Snapshot : 1628.0% / 164T / 8.9G
| 20260212 15:38:52.570 | INFO | Snapshot : 1598.0% / 164T / 9.5G
| 20260212 15:38:56.554 | INFO | Consensus             : 51s 389ms 
| 20260212 15:38:57.569 | INFO | Snapshot : 1296.6% / 83T / 10.1G
| 20260212 15:38:57.743 | INFO | Sketch clusters
| 20260212 15:39:02.577 | INFO | Snapshot : 2390.3% / 83T / 10.2G
| 20260212 15:39:07.574 | INFO | Snapshot : 2476.5% / 83T / 10.3G
| 20260212 15:39:12.579 | INFO | Snapshot : 2517.1% / 83T / 10.4G
| 20260212 15:39:17.570 | INFO | Snapshot : 2473.3% / 83T / 10.4G
| 20260212 15:39:17.744 | INFO | Sketch clusters       : 20s 1ms 
| 20260212 15:39:21.150 | INFO | Map back
| 20260212 15:39:22.569 | INFO | Snapshot : 818.3% / 83T / 11.1G
| 20260212 15:39:27.575 | INFO | Snapshot : 2574.4% / 83T / 11.2G
| 20260212 15:39:32.570 | INFO | Snapshot : 2574.4% / 83T / 11.2G
| 20260212 15:39:37.570 | INFO | Snapshot : 2575.8% / 83T / 11.2G
| 20260212 15:39:42.569 | INFO | Snapshot : 2571.6% / 83T / 11.2G
| 20260212 15:39:47.570 | INFO | Snapshot : 2573.8% / 83T / 11.2G
| 20260212 15:39:52.575 | INFO | Snapshot : 2574.6% / 83T / 11.2G
| 20260212 15:39:57.570 | INFO | Snapshot : 2575.0% / 83T / 11.2G
| 20260212 15:40:02.570 | INFO | Snapshot : 2576.6% / 83T / 11.2G
| 20260212 15:40:07.570 | INFO | Snapshot : 2576.0% / 83T / 11.2G
| 20260212 15:40:12.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:40:17.570 | INFO | Snapshot : 2574.8% / 83T / 11.2G
| 20260212 15:40:22.570 | INFO | Snapshot : 2573.8% / 83T / 11.2G
